Date,Price,Open,High,Low,Vol.,
31-Dec-18,53.8,53,54.82,52.66,109.11,
28-Dec-18,52.2,53.44,53.8,51.6,17.11,
27-Dec-18,52.16,54.65,54.67,51.94,102.59,
26-Dec-18,54.47,50.84,55.29,49.93,77,
24-Dec-18,50.47,53.49,54.66,50.36,76.22,
21-Dec-18,53.82,54.97,55.33,52.79,226.34,
20-Dec-18,54.35,56.49,56.75,54.28,299.45,
19-Dec-18,57.24,56.51,58.11,56.04,319.37,
18-Dec-18,56.26,59,59.24,55.89,398.56,
17-Dec-18,59.61,60.25,61.21,58.64,246.03,
14-Dec-18,60.28,61.53,61.58,59.92,206.56,
13-Dec-18,61.45,60.29,62.02,59.33,252.4,
12-Dec-18,60.15,60.67,61.43,59.98,246.92,
11-Dec-18,60.2,59.91,61.1,59.58,235.33,
10-Dec-18,59.97,61.34,62.33,59.61,264.95,
7-Dec-18,61.67,60.25,63.73,59.1,423.08,
6-Dec-18,60.06,61.36,61.97,58.36,399.99,
5-Dec-18,61.56,61.35,63.29,60.8,256.24,
4-Dec-18,62.08,61.9,63.58,61.24,277.42,
3-Dec-18,61.69,59.98,62.6,59.85,294.77,
30-Nov-18,58.71,59.28,59.93,58.25,27.02,
29-Nov-18,59.51,59.12,60.37,57.5,94.57,
28-Nov-18,58.76,60.63,61.27,58.55,150.81,
27-Nov-18,60.21,60.39,61.4,58.92,271.17,
26-Nov-18,60.48,58.98,61.13,58.6,267.38,
23-Nov-18,58.8,62.58,62.79,58.41,279.67,
22-Nov-18,62.6,63.6,63.81,62.27,164.11,
21-Nov-18,63.48,62.6,64.48,62.56,334.98,
20-Nov-18,62.53,66.9,66.9,61.71,417.01,
19-Nov-18,66.79,66.99,67.64,65.27,262.55,
16-Nov-18,66.76,66.68,68.38,66.06,327.72,
15-Nov-18,66.62,66.12,67.42,65.77,316.04,
14-Nov-18,66.12,65.62,67.63,65.02,379.72,
13-Nov-18,65.47,69.13,69.68,64.61,445.04,
12-Nov-18,70.12,70.69,71.88,68.87,319.23,
9-Nov-18,70.18,70.87,70.99,69.13,292.21,
8-Nov-18,70.65,72.1,73.08,70.56,350.47,
7-Nov-18,72.07,71.66,73.55,71.36,361.36,
6-Nov-18,72.13,72.85,73.28,71.18,290.88,
5-Nov-18,73.17,72.85,74.13,72.26,231.14,
2-Nov-18,72.83,72.75,73.5,72.16,312.87,
1-Nov-18,72.89,74.69,74.99,72.56,360.16,
31-Oct-18,75.47,76.28,76.92,75.42,34.7,
30-Oct-18,75.91,76.82,77.32,75.09,115.19,
29-Oct-18,77.34,77.64,78.03,76.55,117.94,
26-Oct-18,77.62,76.6,77.91,75.77,229.75,
25-Oct-18,76.89,75.67,77.08,75.35,215.24,
24-Oct-18,76.17,76.35,77.57,75.11,366.65,
23-Oct-18,76.44,80.04,80.12,75.88,513.72,
22-Oct-18,79.83,80.11,80.41,78.99,269.91,
19-Oct-18,79.78,79.44,80.88,79.22,291.07,
18-Oct-18,79.29,80.23,80.31,78.69,359.01,
17-Oct-18,80.05,81.74,81.85,79.17,336.6,
16-Oct-18,81.41,80.88,81.75,79.8,329.33,
15-Oct-18,80.78,81,81.92,79.85,284.65,
12-Oct-18,80.43,80.28,81.48,79.23,373.09,
11-Oct-18,80.26,82.47,82.63,79.8,482.51,
10-Oct-18,83.09,84.98,85.17,82.26,319.09,
9-Oct-18,85,83.91,85.45,83.73,351.4,
8-Oct-18,83.91,84.17,84.31,82.66,290.09,
5-Oct-18,84.16,84.89,85.12,83.92,300.62,
4-Oct-18,84.58,85.99,86.43,84.14,361.25,
3-Oct-18,86.29,84.79,86.74,84.01,345.22,
2-Oct-18,84.8,84.95,85.38,84.31,268.61,
1-Oct-18,84.98,82.79,85.45,82.55,347.53,
28-Sep-18,82.72,81.63,82.87,81.6,19.68,
27-Sep-18,81.72,81.8,82.44,81.32,124,
26-Sep-18,81.34,81.45,82.22,81.1,130.53,
25-Sep-18,81.87,81.35,82.55,81.17,240.4,
24-Sep-18,81.2,78.97,81.48,78.97,243.31,
21-Sep-18,78.8,78.67,80.12,78.23,297.57,
20-Sep-18,78.7,79.44,79.83,78.51,300.16,
19-Sep-18,79.4,78.97,79.5,78.51,275.87,
18-Sep-18,79.03,77.78,79.73,77.46,259.18,
17-Sep-18,78.05,78.07,78.9,77.73,207.61,
14-Sep-18,78.09,78.45,78.94,77.37,261.06,
13-Sep-18,78.18,79.6,79.71,77.87,298.14,
12-Sep-18,79.74,79.42,80.13,78.75,315.27,
11-Sep-18,79.06,77.38,79.54,77.36,280.31,
10-Sep-18,77.37,77.08,77.92,76.9,244.53,
7-Sep-18,76.83,76.69,77.1,75.88,209,
6-Sep-18,76.5,77.02,77.77,75.64,274.79,
5-Sep-18,77.27,77.82,78.09,76.91,277.12,
4-Sep-18,78.17,78.19,79.72,77.44,320.45,
3-Sep-18,78.15,77.69,78.44,77.3,110.91,
31-Aug-18,77.42,77.53,77.79,77,25.83,
30-Aug-18,77.77,77.33,78.03,77.18,90.22,
29-Aug-18,77.14,75.99,77.42,75.67,130.44,
28-Aug-18,75.95,76.34,76.97,75.73,179.66,
27-Aug-18,76.21,75.54,76.34,75.39,101.08,
24-Aug-18,75.82,74.73,76.42,74.68,235.09,
23-Aug-18,74.73,74.72,74.87,74.21,199.66,
22-Aug-18,74.78,72.76,75,72.7,300.69,
21-Aug-18,72.63,72.15,72.95,72.05,201.24,
20-Aug-18,72.21,71.77,72.75,71.42,249.1,
17-Aug-18,71.83,71.35,72.49,71.25,217.16,
16-Aug-18,71.43,70.65,71.52,70.4,227.2,
15-Aug-18,70.76,72.22,72.44,70.3,298.11,
14-Aug-18,72.46,72.82,73.93,72.16,242.75,
13-Aug-18,72.61,73,73.09,71.04,220.34,
10-Aug-18,72.81,71.97,73.14,71.4,228.74,
9-Aug-18,72.07,72.16,72.89,71.86,197.06,
8-Aug-18,72.28,74.64,74.87,71.65,269.51,
7-Aug-18,74.65,73.61,74.9,73.57,228.99,
6-Aug-18,73.75,73.21,74.47,73.08,200.58,
3-Aug-18,73.21,73.37,73.73,72.48,175.36,
2-Aug-18,73.45,72.42,73.75,71.84,226.45,
1-Aug-18,72.39,74.07,74.12,72.13,284.02,
31-Jul-18,74.25,74.93,75.1,74.14,21.88,
30-Jul-18,74.97,74.31,75.27,74.14,81.03,
27-Jul-18,74.29,74.5,74.85,73.83,119.34,
26-Jul-18,74.54,74.37,74.83,73.77,183.35,
25-Jul-18,73.93,73.7,74.6,73.07,210.87,
24-Jul-18,73.44,72.91,74,72.68,215.15,
23-Jul-18,73.06,73.22,74.5,72.52,316.98,
20-Jul-18,73.07,72.65,73.47,72.26,231.51,
19-Jul-18,72.58,73.06,73.79,71.83,313.81,
18-Jul-18,72.9,71.74,73.28,71.19,287.11,
17-Jul-18,72.16,72.01,72.78,71.35,286.44,
